uid	iid	label	time
1	1138	1.0	1459036800
1	1294	1.0	1459036800
1	1	0.0	1471132800
1	189	1.0	1471132800
1	232	0.0	1471132800
1	1040	0.0	1471132800
1	684	1.0	1490832000
2	521	1.0	1360713600
2	688	1.0	1490400000
2	469	1.0	1490400000
2	1	1.0	1491350400
2	1040	1.0	1491350400
3	1	1.0	1476230400
3	1040	1.0	1476230400
3	1	1.0	1488240000
3	1027	1.0	1488240000
3	1	1.0	1490572800
4	1	1.0	1489968000
4	1040	1.0	1489968000
4	63	1.0	1495670400
4	236	1.0	1525219200
4	615	1.0	1525478400
5	495	1.0	1429315200
5	495	1.0	1429315200
5	1	1.0	1485734400
5	215	1.0	1485734400
5	1	1.0	1487980800
6	361	1.0	1424390400
6	361	1.0	1424390400
6	1123	0.0	1441065600
6	1468	0.0	1468281600
6	1	1.0	1485216000
6	753	1.0	1485216000
6	763	0.0	1485216000
7	1	1.0	1480550400
7	1	1.0	1480550400
7	1	1.0	1480550400
7	1027	1.0	1480550400
7	1040	1.0	1480550400
8	179	1.0	1473379200
8	416	1.0	1473379200
8	416	1.0	1473379200
8	1	1.0	1473552000
8	58	1.0	1473552000
9	314	0.0	1450483200
9	314	0.0	1450483200
9	1	1.0	1458432000
9	1027	1.0	1458432000
9	865	0.0	1474675200
10	1	1.0	1404604800
10	1	1.0	1455321600
10	1	1.0	1455321600
10	1027	1.0	1455321600
10	1040	1.0	1455321600
11	627	0.0	1380067200
11	655	1.0	1380067200
11	1	1.0	1399248000
11	1	1.0	1453161600
11	1040	1.0	1453161600
12	308	0.0	1414713600
12	308	0.0	1414713600
12	1	1.0	1448236800
12	1040	1.0	1448236800
12	1	1.0	1452470400
13	910	1.0	1399420800
13	1	0.0	1402617600
13	1158	1.0	1415664000
13	1105	1.0	1417996800
13	1331	1.0	1434931200
14	1	1.0	1356912000
14	131	1.0	1403481600
14	987	1.0	1407542400
14	1082	1.0	1408233600
14	1215	0.0	1416355200
14	1300	0.0	1441843200
14	1258	1.0	1443830400
14	986	1.0	1446076800
14	1391	1.0	1450224000
14	960	1.0	1454371200
14	1448	1.0	1461024000
14	1284	1.0	1477699200
14	1464	1.0	1489104000
14	264	1.0	1489536000
14	1410	1.0	1490486400
14	1426	1.0	1491091200
14	1473	1.0	1504310400
15	922	1.0	1411603200
15	740	1.0	1444089600
15	624	0.0	1457395200
15	549	1.0	1464393600
15	764	1.0	1470614400
15	489	1.0	1476057600
15	489	1.0	1476057600
15	871	1.0	1476662400
15	479	1.0	1479081600
15	479	1.0	1479081600
16	938	1.0	1382313600
16	1014	1.0	1382313600
16	2	0.0	1415232000
16	1014	1.0	1447718400
16	531	1.0	1488844800
17	2	1.0	1398038400
17	20	0.0	1398038400
17	47	1.0	1398038400
17	402	1.0	1398038400
18	164	1.0	1237766400
18	2	0.0	1391212800
18	1160	1.0	1413417600
18	874	1.0	1457568000
18	1259	1.0	1457740800
18	620	1.0	1482278400
18	1024	1.0	1486339200
18	1099	1.0	1488240000
19	2	1.0	1378944000
19	697	1.0	1386633600
19	782	1.0	1386633600
19	34	1.0	1412121600
19	551	1.0	1412121600
19	551	1.0	1412121600
19	551	1.0	1412121600
19	1053	1.0	1415318400
19	562	1.0	1436659200
20	2	1.0	1360713600
20	782	1.0	1360713600
20	858	1.0	1405814400
20	93	1.0	1409270400
20	567	1.0	1417478400
20	644	1.0	1417478400
20	700	1.0	1420243200
20	639	0.0	1420416000
20	638	1.0	1428969600
21	2	1.0	1326067200
21	255	1.0	1377475200
21	929	1.0	1404259200
21	1152	1.0	1414972800
21	1188	1.0	1416009600
21	1146	1.0	1421107200
21	1148	1.0	1421107200
21	177	0.0	1423094400
21	1161	0.0	1423440000
21	355	1.0	1430179200
21	355	1.0	1430179200
22	3	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
22	578	1.0	1518480000
23	3	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
23	578	1.0	1515456000
24	3	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
24	578	1.0	1514592000
25	3	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
25	578	1.0	1511654400
26	3	1.0	1499990400
26	202	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
26	578	1.0	1499990400
27	3	1.0	1499472000
27	202	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
27	578	1.0	1499472000
28	257	1.0	1421798400
28	590	1.0	1421798400
28	941	1.0	1446854400
28	1245	1.0	1446854400
28	3	1.0	1482969600
29	489	1.0	1465862400
29	489	1.0	1465862400
29	1513	0.0	1468886400
29	3	1.0	1469145600
29	278	1.0	1469145600
30	3	1.0	1464134400
30	3	1.0	1464134400
30	278	1.0	1464134400
30	278	1.0	1464134400
30	1219	1.0	1473379200
31	3	1.0	1463184000
31	278	1.0	1463184000
31	278	1.0	1463184000
31	651	0.0	1463184000
31	533	0.0	1469577600
32	770	1.0	1404432000
32	3	1.0	1440892800
32	79	1.0	1440892800
32	202	1.0	1440892800
32	208	1.0	1440892800
33	212	1.0	1391212800
33	1035	0.0	1428192000
33	1211	1.0	1429920000
33	3	1.0	1431561600
33	213	1.0	1431993600
33	807	0.0	1455321600
33	1159	1.0	1464998400
33	793	1.0	1465084800
33	1021	1.0	1488585600
33	1493	1.0	1498176000
33	1539	1.0	1503014400
33	787	1.0	1524268800
33	993	1.0	1524268800
33	91	1.0	1525392000
34	205	1.0	1376179200
34	820	1.0	1392249600
34	602	0.0	1393372800
34	910	1.0	1399334400
34	1174	1.0	1409097600
34	523	1.0	1416009600
34	3	1.0	1430524800
34	1080	1.0	1445299200
34	358	1.0	1445472000
34	358	1.0	1445472000
34	1079	1.0	1446076800
34	1369	1.0	1448928000
34	1431	1.0	1457827200
34	1395	1.0	1459987200
34	618	1.0	1467158400
34	1528	1.0	1467936000
34	1543	1.0	1468368000
34	584	1.0	1468886400
34	1544	1.0	1469232000
34	1462	1.0	1475452800
34	157	1.0	1478131200
34	1541	1.0	1478995200
34	1090	1.0	1490400000
34	1535	1.0	1491264000
35	1066	1.0	1398816000
35	1008	0.0	1420675200
35	3	1.0	1430438400
35	1427	1.0	1459641600
35	1517	1.0	1473897600
36	23	1.0	1373068800
36	3	1.0	1384646400
36	202	1.0	1384646400
36	1116	1.0	1424649600
36	3	1.0	1430265600
36	879	1.0	1430265600
36	695	1.0	1430438400
36	1381	1.0	1448841600
36	672	1.0	1457654400
37	89	1.0	1233878400
38	1153	1.0	1416009600
38	3	1.0	1430179200
38	1210	1.0	1431043200
38	129	1.0	1434412800
38	1388	1.0	1444953600
39	1087	1.0	1422835200
39	3	0.0	1430179200
39	1320	1.0	1443052800
39	1352	1.0	1443571200
39	1402	1.0	1443744000
39	1401	1.0	1443830400
39	693	1.0	1444003200
39	945	1.0	1445558400
39	757	1.0	1446681600
39	854	1.0	1446681600
39	1254	1.0	1447027200
39	203	1.0	1447113600
39	1358	1.0	1448928000
39	229	1.0	1449100800
39	1419	1.0	1451433600
39	1060	1.0	1455840000
39	247	1.0	1458777600
39	932	0.0	1469318400
39	1074	1.0	1469750400
39	1504	1.0	1478044800
39	1491	1.0	1483747200
39	32	1.0	1484092800
39	1446	1.0	1485043200
39	1409	1.0	1489708800
39	1304	1.0	1490572800
39	1410	1.0	1490832000
39	582	1.0	1492560000
39	583	1.0	1492905600
39	651	1.0	1497571200
39	1195	1.0	1498003200
39	1547	1.0	1501632000
40	53	0.0	1327881600
40	54	0.0	1327881600
40	143	1.0	1391385600
40	975	1.0	1393459200
40	340	0.0	1395100800
40	833	0.0	1396915200
40	946	1.0	1398902400
40	929	1.0	1403654400
40	1160	1.0	1414540800
40	1217	0.0	1416355200
40	3	1.0	1430092800
40	1201	1.0	1444953600
40	1081	1.0	1447113600
40	668	1.0	1453852800
40	1382	1.0	1475280000
40	1512	1.0	1479686400
40	1356	1.0	1489795200
41	103	1.0	1402790400
41	1100	1.0	1403136000
41	940	0.0	1404604800
41	1009	1.0	1404604800
41	1104	0.0	1404604800
41	733	1.0	1407024000
41	1154	1.0	1414972800
41	539	1.0	1418515200
41	958	0.0	1419465600
41	1232	1.0	1423699200
41	3	1.0	1429920000
41	1166	1.0	1430352000
41	1331	1.0	1435363200
41	756	1.0	1438732800
41	1300	0.0	1439337600
41	120	1.0	1440806400
41	1351	0.0	1440979200
41	1225	1.0	1442620800
41	1234	1.0	1442620800
41	1352	0.0	1444867200
41	693	1.0	1445558400
41	1079	0.0	1445644800
41	1226	1.0	1445731200
41	1392	1.0	1447718400
41	906	1.0	1448841600
41	1459	1.0	1457568000
41	1461	1.0	1457913600
41	1422	0.0	1458864000
41	1395	1.0	1460937600
41	1361	0.0	1467244800
41	1479	1.0	1468368000
41	1056	0.0	1468540800
41	1463	1.0	1468972800
41	1509	1.0	1469404800
41	1372	1.0	1469664000
41	1549	0.0	1469836800
41	1482	1.0	1470614400
42	3	1.0	1351987200
42	278	1.0	1351987200
42	278	1.0	1351987200
42	3	1.0	1428710400
42	278	1.0	1428710400
43	3	1.0	1421884800
43	202	1.0	1421884800
43	578	1.0	1421884800
43	578	1.0	1421884800
43	578	1.0	1421884800
43	578	1.0	1421884800
43	578	1.0	1421884800
43	578	1.0	1421884800
